市州,year,人口密度(人/平方公里),人均GDP,全年降水量( millimeters),城镇化率(%),平均海拔（m）,年平均温度(℃),年平均相对湿度(%),文化体育传媒支出（万元）,city_id
乐山市教育局,2018,257.0,53633.0,1511.9,51.83,360.0,18.5,71.0,87008.0,0
乐山市教育局,2019,257.0,58942.0,1483.1,53.36,360.0,18.15,76.0833333333333,48412.0,0
乐山市教育局,2020,248.0,63188.0,1555.3,53.11,360.0,18.2916666666667,79.5,178406.0,0
乐山市教育局,2021,247.661715004323,69501.0,1166.4,54.07,360.0,18.525,79.75,100530.0,0
乐山市教育局,2022,248.0,73249.0,1061.1,54.57,360.0,19.0666666666667,76.4166666666667,75546.0,0
乐山市教育局,2023,247.3473237444,77699.0,858.2,55.79,360.0,19.1,74.0,63489.0,0
内江市教育局,2018,687.0,40062.0,1044.8,49.1,350.0,18.1,81.0,32149.0,1
内江市教育局,2019,687.0,43754.0,896.4,50.58,350.0,17.9166666666667,82.8333333333333,39945.0,1
内江市教育局,2020,584.0,45553.0,1025.8,50.07,350.0,18.2583333333333,79.5,45745.0,1
内江市教育局,2021,576.448084387245,51377.0,1246.3,51.08,350.0,18.2333333333333,81.0,29893.0,1
内江市教育局,2022,573.0,53519.0,877.6,51.56,350.0,18.6333333333333,77.75,39486.0,1
内江市教育局,2023,568.833918324141,58758.0,778.5,52.57,350.0,19.0,77.0,50950.0,1
凉山彝族自治州教育局,2018,81.0,32413.0,1137.7,35.71,1500.0,17.9,58.0,78963.0,2
凉山彝族自治州教育局,2019,82.0,34566.0,822.5,37.13,1500.0,19.1833333333333,50.6666666666667,110047.0,2
凉山彝族自治州教育局,2020,81.0,35720.0,1182.5,36.96,1500.0,18.1,56.5833333333333,117945.0,2
凉山彝族自治州教育局,2021,80.8366946184057,39396.0,966.4,38.66,1500.0,18.5333333333333,56.8333333333333,101039.0,2
凉山彝族自治州教育局,2022,81.0,42629.0,894.6,39.46,1500.0,17.6166666666667,59.75,107472.0,2
凉山彝族自治州教育局,2023,81.3674238403567,46159.0,1003.3,41.38,1500.0,19.1,54.0,116858.0,2
南充市教育局,2018,516.0,36390.0,1027.8,48.14,310.0,17.6,78.0,72326.0,3
南充市教育局,2019,516.0,40145.0,1197.4,49.72,310.0,17.425,81.6666666666667,73273.0,3
南充市教育局,2020,450.0,41717.0,1180.5,50.22,310.0,17.6833333333333,81.0833333333333,92045.0,3
南充市教育局,2021,445.773090116372,46743.0,1262.8,51.22,310.0,17.6666666666667,80.9166666666667,75582.0,3
南充市教育局,2022,445.0,47092.0,999.3,51.75,310.0,18.575,76.8333333333333,61923.0,3
南充市教育局,2023,441.685634597506,49453.0,1088.4,52.83,310.0,18.3,79.0,71105.0,3
宜宾市教育局,2018,343.0,51941.0,1190.0,49.64,320.0,17.7,81.0,46704.0,4
宜宾市教育局,2019,345.0,57820.0,1130.5,51.19,320.0,17.5416666666667,84.6666666666667,65715.0,4
宜宾市教育局,2020,346.0,61427.0,1746.0,51.39,320.0,17.6666666666667,84.0,79895.0,4
宜宾市教育局,2021,347.12276311227,69531.0,1206.3,52.94,320.0,17.8583333333333,85.1666666666667,77648.0,4
宜宾市教育局,2022,348.0,75552.0,1020.0,53.55,320.0,18.6166666666667,79.6666666666667,82541.0,4
宜宾市教育局,2023,348.856492439433,82341.0,641.3,54.91,320.0,18.8,76.0,89901.0,4
巴中市教育局,2018,270.0,24596.0,1157.9,41.85,390.0,17.6,74.0,34062.0,5
巴中市教育局,2019,270.0,26377.0,1728.7,43.35,390.0,16.425,79.0,36518.0,5
巴中市教育局,2020,221.0,25720.0,936.0,46.16,390.0,16.6083333333333,80.0833333333333,62276.0,5
巴中市教育局,2021,217.679549022638,27322.0,1716.6,46.92,390.0,16.3416666666667,78.75,48156.0,5
巴中市教育局,2022,216.0,27780.0,1165.6,47.34,390.0,17.25,74.0833333333333,46873.0,5
巴中市教育局,2023,213.85632824384,29517.0,1060.1,48.52,390.0,17.0,75.0,51584.0,5
广元市教育局,2018,164.0,36749.0,1086.5,45.63,520.0,16.3,69.0,48572.0,6
广元市教育局,2019,164.0,40355.0,964.6,47.2,520.0,15.9916666666667,69.0833333333333,47933.0,6
广元市教育局,2020,141.0,43337.0,1107.0,47.04,520.0,16.4333333333333,68.5833333333333,43333.0,6
广元市教育局,2021,139.966035399207,48638.0,1485.1,48.06,520.0,16.425,72.1666666666667,45926.0,6
广元市教育局,2022,139.0,48972.0,879.4,48.55,520.0,16.925,70.3333333333333,45486.0,6
广元市教育局,2023,137.881565314418,52204.0,785.5,49.57,520.0,17.0,69.0,50720.0,6
广安市教育局,2018,511.0,35999.0,974.8,41.86,320.0,17.6,78.0,33582.0,7
广安市教育局,2019,513.0,38702.0,1010.7,43.26,320.0,17.325,79.5,39692.0,7
广安市教育局,2020,514.0,40073.0,1074.0,44.07,320.0,17.575,81.0,43483.0,7
广安市教育局,2021,512.262439870673,43558.0,1486.6,44.86,320.0,17.6583333333333,83.1666666666667,33710.0,7
广安市教育局,2022,511.0,43941.0,977.3,45.32,320.0,18.7333333333333,78.3333333333333,32193.0,7
广安市教育局,2023,508.792681965145,46798.0,988.7,46.57,320.0,18.1,80.0,47336.0,7
德阳市教育局,2018,600.0,61788.0,1650.6,52.35,485.0,17.0,78.0,33591.0,8
德阳市教育局,2019,603.0,67005.0,726.8,53.89,485.0,16.975,79.6666666666667,34939.0,8
德阳市教育局,2020,585.0,68847.0,1132.1,55.97,485.0,17.2416666666667,75.5833333333333,59388.0,8
德阳市教育局,2021,585.298994889844,77703.0,1060.7,57.07,485.0,17.075,79.0833333333333,91621.0,8
德阳市教育局,2022,586.0,81650.0,735.8,57.61,485.0,17.6166666666667,77.0,54376.0,8
德阳市教育局,2023,584.283732105993,87197.0,712.0,58.77,485.0,17.7,75.0,127970.0,8
成都市教育局,2018,1139.0,80503.0,1250.3,73.12,500.0,16.7,81.0,376326.0,9
成都市教育局,2019,1157.0,84584.0,1107.5,74.41,500.0,16.5166666666667,83.1666666666667,457786.0,9
成都市教育局,2020,1461.0,86266.0,1229.6,78.77,500.0,16.775,79.4166666666667,478758.0,9
成都市教育局,2021,1478.33972793861,94837.0,918.3,79.48,500.0,16.8833333333333,80.0,584417.0,9
成都市教育局,2022,1484.0,97925.0,984.5,79.89,500.0,17.5333333333333,79.0,542019.0,9
成都市教育局,2023,1493.05894663411,103465.0,1044.8,80.5,500.0,17.5,78.0,535085.0,9
攀枝花市教育局,2018,167.0,77231.0,822.2,66.59,1150.0,21.0,57.0,19219.0,10
攀枝花市教育局,2019,164.0,82403.0,685.9,66.77,1150.0,22.5666666666667,51.25,22259.0,10
攀枝花市教育局,2020,164.0,84404.0,702.4,69.57,1150.0,21.9,54.1666666666667,23447.0,10
攀枝花市教育局,2021,164.023022671387,94793.0,668.7,69.92,1150.0,21.95,54.3333333333333,21404.0,10
攀枝花市教育局,2022,164.0,100454.0,652.1,70.23,1150.0,20.7583333333333,57.9166666666667,20692.0,10
攀枝花市教育局,2023,164.563460966844,107133.0,519.8,70.78,1150.0,22.5,53.0,26819.0,10
泸州市教育局,2018,353.0,44918.0,1388.4,50.46,260.0,18.2,82.0,55345.0,11
泸州市教育局,2019,354.0,48903.0,1036.3,52.0,260.0,18.1083333333333,82.8333333333333,84376.0,11
泸州市教育局,2020,348.0,50885.0,1396.8,50.24,260.0,17.9666666666667,82.0833333333333,93183.0,11
泸州市教育局,2021,348.065575914091,57132.0,817.0,51.36,260.0,18.475,80.4166666666667,103283.0,11
泸州市教育局,2022,348.0,61054.0,1105.4,51.91,260.0,19.2666666666667,77.1666666666667,61187.0,11
泸州市教育局,2023,348.719373661758,63913.0,734.4,53.16,260.0,19.2,78.0,54429.0,11
甘孜藏族自治州教育局,2018,8.0,32869.0,955.2,31.66,2560.0,8.0,73.0,82260.0,12
甘孜藏族自治州教育局,2019,8.0,34891.0,789.7,32.94,2560.0,8.36666666666667,69.6666666666667,157768.0,12
甘孜藏族自治州教育局,2020,7.0,36931.0,968.2,31.01,2560.0,7.85833333333334,75.5833333333333,153258.0,12
甘孜藏族自治州教育局,2021,7.36634462861791,40347.0,824.7,31.52,2560.0,8.25,75.0833333333333,79307.0,12
甘孜藏族自治州教育局,2022,7.0,42807.0,855.7,31.92,2560.0,8.30833333333333,73.5,90502.0,12
甘孜藏族自治州教育局,2023,7.39308272164375,46478.0,769.8,32.92,2560.0,8.9,72.0,90521.0,12
眉山市教育局,2018,418.0,42873.0,1310.5,46.32,410.0,18.0,82.0,33118.0,13
眉山市教育局,2019,419.0,46123.0,1167.9,47.83,410.0,17.675,80.0833333333333,39227.0,13
眉山市教育局,2020,414.0,47431.0,1292.6,50.14,410.0,18.15,76.6666666666667,43539.0,13
眉山市教育局,2021,414.454793753064,52638.0,855.5,51.11,410.0,17.9333333333333,78.0833333333333,37154.0,13
眉山市教育局,2022,415.0,55258.0,712.9,51.61,410.0,18.5666666666667,75.75,38852.0,13
眉山市教育局,2023,413.894530429302,58722.0,688.7,52.81,410.0,18.6,77.0,43926.0,13
绵阳市教育和体育局,2018,240.0,54376.0,1367.0,52.53,460.0,17.5,70.0,44073.0,14
绵阳市教育和体育局,2019,241.0,59381.0,776.9,54.13,460.0,17.4083333333333,71.25,52234.0,14
绵阳市教育和体育局,2020,241.0,62151.0,1122.1,51.66,460.0,17.7083333333333,67.75,74008.0,14
绵阳市教育和体育局,2021,241.154856680034,69798.0,1243.7,53.63,460.0,17.65,72.5833333333333,72778.0,14
绵阳市教育和体育局,2022,242.0,75238.0,565.7,54.29,460.0,18.3083333333333,69.6666666666667,73773.0,14
绵阳市教育和体育局,2023,242.537681989688,82347.0,644.3,56.01,460.0,18.5,68.0,69786.0,14
自贡市教育局,2018,667.0,50664.0,909.8,52.61,350.0,18.7,78.0,27357.0,15
自贡市教育局,2019,667.0,54959.0,1067.8,54.09,350.0,18.5833333333333,79.8333333333333,36900.0,15
自贡市教育局,2020,568.0,57326.0,1115.3,55.4,350.0,18.9,76.25,53745.0,15
自贡市教育局,2021,563.164863260741,64375.0,1223.2,56.2,350.0,18.8833333333333,80.5833333333333,34565.0,15
自贡市教育局,2022,560.0,66570.0,754.9,56.67,350.0,19.7583333333333,72.1666666666667,30057.0,15
自贡市教育局,2023,554.49025247683,71726.0,832.8,57.69,350.0,19.8,73.0,41161.0,15
资阳市教育局,2018,437.0,30770.0,1203.3,42.71,360.0,17.9,79.0,24465.0,16
资阳市教育局,2019,436.0,33207.0,1188.5,44.1470235717139,360.0,17.6083333333333,82.8333333333333,24234.0,16
资阳市教育局,2020,402.0,34806.0,913.0,41.29,360.0,18.075,79.3333333333333,28475.0,16
资阳市教育局,2021,397.632311977716,38717.0,1005.1,42.12,360.0,18.1166666666667,79.4166666666667,23519.0,16
资阳市教育局,2022,395.0,41516.0,490.9,42.66,360.0,18.9416666666667,74.8333333333333,49882.0,16
资阳市教育局,2023,392.235376044568,45078.0,524.5,43.86,360.0,19.0,72.0,28281.0,16
达州市教育局,2018,345.0,34392.0,976.1,45.52,280.0,18.1,78.0,56057.0,17
达州市教育局,2019,346.0,37284.0,1079.2,47.14,280.0,18.0916666666667,78.9166666666667,50548.0,17
达州市教育局,2020,325.0,39182.0,1089.4,49.8,280.0,18.0833333333333,76.4166666666667,54976.0,17
达州市教育局,2021,323.845133277047,43955.0,1638.1,50.83,280.0,18.075,77.5833333333333,48857.0,17
达州市教育局,2022,323.0,46284.0,1268.4,51.3,280.0,19.05,70.75,56023.0,17
达州市教育局,2023,321.07104088771,49755.0,1311.2,52.48,280.0,18.5,77.0,68662.0,17
遂宁市教育局,2018,602.0,42167.0,931.8,50.02,320.0,17.9,80.0,27126.0,18
遂宁市教育局,2019,599.0,46615.0,1039.1,51.52,320.0,17.625,81.6666666666667,36406.0,18
遂宁市教育局,2020,529.0,48523.0,1166.6,57.3,320.0,17.7083333333333,79.75,66885.0,18
遂宁市教育局,2021,522.617974150887,54300.0,1129.8,58.21,320.0,17.75,79.0,41694.0,18
遂宁市教育局,2022,521.0,58137.0,915.2,58.68,320.0,18.9416666666667,75.5,42756.0,18
遂宁市教育局,2023,516.230838593327,62137.0,992.5,59.78,320.0,18.5,76.0,39147.0,18
阿坝藏族羌族自治州教育局,2018,11.0,43220.0,981.8,40.0,2600.0,9.5,65.0,60417.0,19
阿坝藏族羌族自治州教育局,2019,11.0,46376.0,1071.4,41.15,2600.0,9.59166666666667,63.9166666666667,186714.0,19
阿坝藏族羌族自治州教育局,2020,10.0,49532.0,1037.9,41.43,2600.0,9.53333333333333,64.75,187769.0,19
阿坝藏族羌族自治州教育局,2021,9.81734912300355,54900.0,832.0,42.09,2600.0,9.85,63.75,105234.0,19
阿坝藏族羌族自治州教育局,2022,10.0,56473.0,817.7,42.55,2600.0,9.46666666666667,61.0833333333333,113639.0,19
阿坝藏族羌族自治州教育局,2023,9.93780739445145,61067.0,807.2,43.75,2600.0,9.9,60.0,141755.0,19
雅安市教育局,2018,102.0,44688.0,2161.3,46.85,640.0,16.8,78.0,10317.0,20
雅安市教育局,2019,102.0,49796.0,1948.8,48.37,640.0,16.8,78.75,16609.0,20
雅安市教育局,2020,95.0,52366.0,1870.0,52.78,640.0,17.0583333333333,79.3333333333333,39452.0,20
雅安市教育局,2021,95.107070223711,59105.0,2084.9,53.55,640.0,17.1916666666667,80.1666666666667,34942.0,20
雅安市教育局,2022,95.0,65386.0,1557.1,54.02,640.0,17.5333333333333,77.8333333333333,44268.0,20
雅安市教育局,2023,94.9741462960747,70582.0,1470.2,55.17,640.0,17.7,76.0,40280.0,20
